PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35090590","A population of descending neurons that regulates the flight motor of Drosophila","Namiki S, Ros IG, Morrow C, Rowell WJ, Card GM, Korff W, Dickinson MH.","Curr Biol. 2022 Mar 14;32(5):1189-1196.e6. doi: 10.1016/j.cub.2022.01.008. Epub 2022 Jan 31.","Namiki S","Curr Biol","2022","2022/01/29","PMC9206711","NIHMS1777912","10.1016/j.cub.2022.01.008"
"37657449","The mushroom body output encodes behavioral decision during sensory-motor transformation","Arican C, Schmitt FJ, Rössler W, Strube-Bloss MF, Nawrot MP.","Curr Biol. 2023 Oct 9;33(19):4217-4224.e4. doi: 10.1016/j.cub.2023.08.016. Epub 2023 Aug 31.","Arican C","Curr Biol","2023","2023/09/01","","","10.1016/j.cub.2023.08.016"
"34450024","Memory suppressor genes: Modulating acquisition, consolidation, and forgetting","Noyes NC, Phan A, Davis RL.","Neuron. 2021 Oct 20;109(20):3211-3227. doi: 10.1016/j.neuron.2021.08.001. Epub 2021 Aug 26.","Noyes NC","Neuron","2021","2021/08/27","PMC8542634","NIHMS1731149","10.1016/j.neuron.2021.08.001"
"37425937","Neuronal wiring diagram of an adult brain","Dorkenwald S, Matsliah A, Sterling AR, Schlegel P, Yu SC, McKellar CE, Lin A, Costa M, Eichler K, Yin Y, Silversmith W, Schneider-Mizell C, Jordan CS, Brittain D, Halageri A, Kuehner K, Ogedengbe O, Morey R, Gager J, Kruk K, Perlman E, Yang R, Deutsch D, Bland D, Sorek M, Lu R, Macrina T, Lee K, Bae JA, Mu S, Nehoran B, Mitchell E, Popovych S, Wu J, Jia Z, Castro M, Kemnitz N, Ih D, Bates AS, Eckstein N, Funke J, Collman F, Bock DD, Jefferis GSXE, Seung HS, Murthy M; FlyWire Consortium.","bioRxiv [Preprint]. 2023 Jul 11:2023.06.27.546656. doi: 10.1101/2023.06.27.546656.","Dorkenwald S","bioRxiv","2023","2023/07/10","PMC10327113","","10.1101/2023.06.27.546656"
"28772126","Serotonergic Modulation Enables Pathway-Specific Plasticity in a Developing Sensory Circuit in Drosophila","Kaneko T, Macara AM, Li R, Hu Y, Iwasaki K, Dunnings Z, Firestone E, Horvatic S, Guntur A, Shafer OT, Yang CH, Zhou J, Ye B.","Neuron. 2017 Aug 2;95(3):722. doi: 10.1016/j.neuron.2017.07.023.","Kaneko T","Neuron","2017","2017/08/04","","","10.1016/j.neuron.2017.07.023"
"36223339","Parafibromin governs cell polarity and centrosome assembly in Drosophila neural stem cells","Deng Q, Wang C, Koe CT, Heinen JP, Tan YS, Li S, Gonzalez C, Sung WK, Wang H.","PLoS Biol. 2022 Oct 12;20(10):e3001834. doi: 10.1371/journal.pbio.3001834. eCollection 2022 Oct.","Deng Q","PLoS Biol","2022","2022/10/12","PMC9555638","","10.1371/journal.pbio.3001834"
"37732262","Descending control and regulation of spontaneous flight turns in Drosophila","Ros IG, Omoto JJ, Dickinson MH.","bioRxiv [Preprint]. 2023 Oct 9:2023.09.06.555791. doi: 10.1101/2023.09.06.555791.","Ros IG","bioRxiv","2023","2023/09/21","PMC10508747","","10.1101/2023.09.06.555791"
"33974875","Neurodevelopment: Comparative connectomics and the study of circuit assembly","Donà E, Jefferis GSXE.","Curr Biol. 2021 May 10;31(9):R452-R454. doi: 10.1016/j.cub.2021.03.053.","Donà E","Curr Biol","2021","2021/05/11","","","10.1016/j.cub.2021.03.053"
"37547019","Network Statistics of the Whole-Brain Connectome of Drosophila","Lin A, Yang R, Dorkenwald S, Matsliah A, Sterling AR, Schlegel P, Yu SC, McKellar CE, Costa M, Eichler K, Bates AS, Eckstein N, Funke J, Jefferis GSXE, Murthy M.","bioRxiv [Preprint]. 2024 Feb 28:2023.07.29.551086. doi: 10.1101/2023.07.29.551086.","Lin A","bioRxiv","2024","2023/08/07","PMC10402125","","10.1101/2023.07.29.551086"
"34653349","Microbiota-brain interactions: Moving toward mechanisms in model organisms","Nagpal J, Cryan JF.","Neuron. 2021 Dec 15;109(24):3930-3953. doi: 10.1016/j.neuron.2021.09.036. Epub 2021 Oct 14.","Nagpal J","Neuron","2021","2021/10/15","","","10.1016/j.neuron.2021.09.036"
"32931755","A Systematic Nomenclature for the Drosophila Ventral Nerve Cord","Court R, Namiki S, Armstrong JD, Börner J, Card G, Costa M, Dickinson M, Duch C, Korff W, Mann R, Merritt D, Murphey RK, Seeds AM, Shirangi T, Simpson JH, Truman JW, Tuthill JC, Williams DW, Shepherd D.","Neuron. 2020 Sep 23;107(6):1071-1079.e2. doi: 10.1016/j.neuron.2020.08.005. Epub 2020 Sep 14.","Court R","Neuron","2020","2020/09/15","PMC7611823","EMS136096","10.1016/j.neuron.2020.08.005"
"34032214","Information flow, cell types and stereotypy in a full olfactory connectome","Schlegel P, Bates AS, Stürner T, Jagannathan SR, Drummond N, Hsu J, Serratosa Capdevila L, Javier A, Marin EC, Barth-Maron A, Tamimi IF, Li F, Rubin GM, Plaza SM, Costa M, Jefferis GSXE.","Elife. 2021 May 25;10:e66018. doi: 10.7554/eLife.66018.","Schlegel P","Elife","2021","2021/05/25","PMC8298098","","10.7554/eLife.66018"
"38795343","Trio preserves motor synapses and prolongs motor ability during aging","Banerjee S, Vernon S, Ruchti E, Limoni G, Jiao W, Asadzadeh J, Van Campenhoudt M, McCabe BD.","Cell Rep. 2024 Jun 25;43(6):114256. doi: 10.1016/j.celrep.2024.114256. Epub 2024 May 24.","Banerjee S","Cell Rep","2024","2024/05/25","","","10.1016/j.celrep.2024.114256"
"33230320","Auditory activity is diverse and widespread throughout the central brain of Drosophila","Pacheco DA, Thiberge SY, Pnevmatikakis E, Murthy M.","Nat Neurosci. 2021 Jan;24(1):93-104. doi: 10.1038/s41593-020-00743-y. Epub 2020 Nov 23.","Pacheco DA","Nat Neurosci","2021","2020/11/24","PMC7783861","NIHMS1657725","10.1038/s41593-020-00743-y"
"19922859","Are bigger brains better?","Chittka L, Niven J.","Curr Biol. 2009 Nov 17;19(21):R995-R1008. doi: 10.1016/j.cub.2009.08.023.","Chittka L","Curr Biol","2009","2009/11/20","","","10.1016/j.cub.2009.08.023"
"30726702","Organization of the Drosophila larval visual circuit","Larderet I, Fritsch PM, Gendre N, Neagu-Maier GL, Fetter RD, Schneider-Mizell CM, Truman JW, Zlatic M, Cardona A, Sprecher SG.","Elife. 2017 Aug 8;6:e28387. doi: 10.7554/eLife.28387.","Larderet I","Elife","2017","2019/02/07","PMC5577918","","10.7554/eLife.28387"
"32386535","Sites of Circadian Clock Neuron Plasticity Mediate Sensory Integration and Entrainment","Fernandez MP, Pettibone HL, Bogart JT, Roell CJ, Davey CE, Pranevicius A, Huynh KV, Lennox SM, Kostadinov BS, Shafer OT.","Curr Biol. 2020 Jun 22;30(12):2225-2237.e5. doi: 10.1016/j.cub.2020.04.025. Epub 2020 May 7.","Fernandez MP","Curr Biol","2020","2020/05/11","PMC7314648","NIHMS1586776","10.1016/j.cub.2020.04.025"
"36450284","Locomotor and olfactory responses in dopamine neurons of the Drosophila superior-lateral brain","Marquis M, Wilson RI.","Curr Biol. 2022 Dec 19;32(24):5406-5414.e5. doi: 10.1016/j.cub.2022.11.008. Epub 2022 Nov 29.","Marquis M","Curr Biol","2022","2022/11/30","","","10.1016/j.cub.2022.11.008"
"33315010","The connectome of the adult Drosophila mushroom body provides insights into function","Li F, Lindsey JW, Marin EC, Otto N, Dreher M, Dempsey G, Stark I, Bates AS, Pleijzier MW, Schlegel P, Nern A, Takemura SY, Eckstein N, Yang T, Francis A, Braun A, Parekh R, Costa M, Scheffer LK, Aso Y, Jefferis GS, Abbott LF, Litwin-Kumar A, Waddell S, Rubin GM.","Elife. 2020 Dec 14;9:e62576. doi: 10.7554/eLife.62576.","Li F","Elife","2020","2020/12/14","PMC7909955","","10.7554/eLife.62576"
"38657610","Mechanosensory and command contributions to the Drosophila grooming sequence","Yoshikawa S, Tang P, Simpson JH.","Curr Biol. 2024 May 20;34(10):2066-2076.e3. doi: 10.1016/j.cub.2024.04.003. Epub 2024 Apr 23.","Yoshikawa S","Curr Biol","2024","2024/04/24","PMC11179149","NIHMS1988826","10.1016/j.cub.2024.04.003"
"29943730","The functional organization of descending sensory-motor pathways in Drosophila","Namiki S, Dickinson MH, Wong AM, Korff W, Card GM.","Elife. 2018 Jun 26;7:e34272. doi: 10.7554/eLife.34272.","Namiki S","Elife","2018","2018/06/27","PMC6019073","","10.7554/eLife.34272"
"30124430","Building a functional connectome of the Drosophila central complex","Franconville R, Beron C, Jayaraman V.","Elife. 2018 Aug 20;7:e37017. doi: 10.7554/eLife.37017.","Franconville R","Elife","2018","2018/08/21","PMC6150698","","10.7554/eLife.37017"
"37379332","A single-cell atlas of the sexually dimorphic Drosophila foreleg and its sensory organs during development","Hopkins BR, Barmina O, Kopp A.","PLoS Biol. 2023 Jun 28;21(6):e3002148. doi: 10.1371/journal.pbio.3002148. eCollection 2023 Jun.","Hopkins BR","PLoS Biol","2023","2023/06/28","PMC10335707","","10.1371/journal.pbio.3002148"
"29112868","Drosophila Connectomics: Mapping the Larval Eye's Mind","Friedrich-Reed Wienecke C, Clandinin TR.","Curr Biol. 2017 Nov 6;27(21):R1161-R1163. doi: 10.1016/j.cub.2017.09.016.","Friedrich-Reed Wienecke C","Curr Biol","2017","2017/11/08","","","10.1016/j.cub.2017.09.016"
"33609484","Expanding evolutionary neuroscience: insights from comparing variation in behavior","Jourjine N, Hoekstra HE.","Neuron. 2021 Apr 7;109(7):1084-1099. doi: 10.1016/j.neuron.2021.02.002. Epub 2021 Feb 19.","Jourjine N","Neuron","2021","2021/02/20","","","10.1016/j.neuron.2021.02.002"
"35290791","A functionally ordered visual feature map in the Drosophila brain","Klapoetke NC, Nern A, Rogers EM, Rubin GM, Reiser MB, Card GM.","Neuron. 2022 May 18;110(10):1700-1711.e6. doi: 10.1016/j.neuron.2022.02.013. Epub 2022 Mar 14.","Klapoetke NC","Neuron","2022","2022/03/15","","","10.1016/j.neuron.2022.02.013"
"29863472","Striking circadian neuron diversity and cycling of Drosophila alternative splicing","Wang Q, Abruzzi KC, Rosbash M, Rio DC.","Elife. 2018 Jun 4;7:e35618. doi: 10.7554/eLife.35618.","Wang Q","Elife","2018","2018/06/05","PMC6025963","","10.7554/eLife.35618"
"31206020","Spatiotemporal ontogeny of brain wiring","Goulas A, Betzel RF, Hilgetag CC.","Sci Adv. 2019 Jun 12;5(6):eaav9694. doi: 10.1126/sciadv.aav9694. eCollection 2019 Jun.","Goulas A","Sci Adv","2019","2019/06/18","PMC6561744","","10.1126/sciadv.aav9694"
